load_zone,fuel,period,fuel_cost
Menorca,diesel,2021,58.05
Menorca,fueloil,2021,17.92
Menorca,gas,2021,16.34
Menorca,cable,2021,33.50
Menorca,diesel,2022,58.05
Menorca,fueloil,2022,17.92
Menorca,gas,2022,16.34
Menorca,cable,2022,33.50
Menorca,diesel,2023,58.05
Menorca,fueloil,2023,17.92
Menorca,gas,2023,16.34
Menorca,cable,2023,33.50
Menorca,diesel,2024,58.05
Menorca,fueloil,2024,17.92
Menorca,gas,2024,16.34
Menorca,cable,2024,33.50
Menorca,diesel,2025,58.05
Menorca,fueloil,2025,17.92
Menorca,gas,2025,16.34
Menorca,cable,2025,33.50
Menorca,diesel,2026,58.05
Menorca,fueloil,2026,17.92
Menorca,gas,2026,16.34
Menorca,cable,2026,33.50
Menorca,diesel,2027,58.05
Menorca,fueloil,2027,17.92
Menorca,gas,2027,16.34
Menorca,cable,2027,33.50
Menorca,diesel,2028,58.05
Menorca,fueloil,2028,17.92
Menorca,gas,2028,16.34
Menorca,cable,2028,33.50
Menorca,diesel,2029,58.05
Menorca,fueloil,2029,17.92
Menorca,gas,2029,16.34
Menorca,cable,2029,33.50
Menorca,diesel,2030,58.05
Menorca,fueloil,2030,17.92
Menorca,gas,2030,16.34
Menorca,cable,2030,33.50